position,original_char,replacement_char,original_word,perturbed_word,word_freq,perturbed_freq
0,中,忠,中国,忠国,20800,0
1,个,各,一个,一各,14404,0
0,美,每,美国,每国,11073,0
0,自,字,自己,字己,8939,0
0,可,渴,可能,渴能,8367,0
0,没,媒,没有,媒有,8201,0
0,这,浙,这个,浙个,6950,0
1,些,歇,这些,这歇,6681,0
0,可,渴,可以,渴以,6234,0
0,朝,潮,朝鲜,潮鲜,5748,0
1,千,签,二千,二签,5623,0
1,示,士,表示,表士,5438,0
0,一,移,一些,移些,5336,0
0,已,以,已经,以经,5263,0
1,家,加,国家,国加,5135,0
1,题,提,问题,问提,4999,0
0,政,症,政府,症府,4994,0
1,种,肿,这种,这肿,4489,0
1,果,嚴,如果,如嚴,4269,0
0,公,工,公司,工司,4267,0
0,其,祈,其他,祈他,4245,0
1,为,味,认为,认味,4030,0
1,是,事,不是,不事,3997,1
1,行,航,进行,进航,3976,0
1,始,使,开始,开使,3969,0
0,因,姻,因为,姻为,3695,0
0,这,浙,这样,浙样,3450,0
0,工,公,工作,公作,3441,0
0,现,限,现在,限在,3440,0
1,在,再,正在,正再,3260,0
0,一,移,一千,移千,3161,0
1,种,肿,一种,一肿,3161,0
1,是,世,但是,但世,3102,0
0,人,仁,人们,仁们,3102,0
0,一,無,一直,無直,3097,0
1,要,药,需要,需药,3071,0
1,京,经,北京,北经,3047,0
1,统,桶,总统,总桶,3016,0
0,官,关,官员,关员,2976,0
1,名,明,一名,一明,2970,0
0,韩,寒,韩国,寒国,2923,0
0,什,十,什么,十么,2884,0
0,经,惊,经济,惊济,2851,0
0,九,酒,九百,酒百,2836,0
0,研,严,研究,严究,2829,0
1,是,事,就是,就事,2821,0
0,以,已,以及,已及,2810,0
0,知,织,知道,织道,2762,0
0,香,相,香港,相港,2757,0
1,治,至,政治,政至,2747,0
1,多,咄,许多,许咄,2691,0
1,多,咄,很多,很咄,2681,0
0,它,捐,它们,捐们,2546,0
0,成,城,成为,城为,2530,1
1,括,扩,包括,包扩,2523,0
1,些,歇,那些,那歇,2501,0
0,生,声,生活,声活,2446,0
1,界,届,世界,世届,2404,0
1,生,升,发生,发升,2402,0
0,任,认,任何,认何,2387,0
0,时,十,时间,十间,2343,1
0,其,奇,其中,奇中,2339,0
1,望,妄,希望,希妄,2329,0
1,候,后,时候,时后,2312,0
1,里,理,这里,这理,2295,0
0,所,锁,所有,锁有,2271,0
1,方,芳,地方,地芳,2251,0
0,提,题,提供,题供,2241,0
1,现,献,发现,发献,2233,0
0,不,部,不会,部会,2215,0
1,乎,忽,似乎,似忽,2180,0
1,生,升,学生,学升,2176,0
1,现,限,出现,出限,2170,0
0,要,药,要求,药求,2106,0
0,情,擎,情况,擎况,2092,0
1,常,尝,非常,非尝,2069,0
0,重,崇,重要,崇要,2061,0
0,来,它,来说,它说,2056,0
1,动,栋,活动,活栋,2036,0
1,次,刺,一次,一刺,1999,0
0,这,浙,这是,浙是,1983,0
1,子,紫,孩子,孩紫,1973,0
0,接,阶,接受,阶受,1972,0
0,一,遗,一样,遗样,1971,0
0,不,部,不过,部过,1947,0
1,到,道,看到,看道,1942,0
1,响,想,影响,影想,1936,0
1,性,姓,女性,女姓,1936,0
0,作,座,作为,座为,1908,0
0,支,之,支持,之持,1899,0
0,使,無,使用,無用,1897,1
0,台,將,台湾,將湾,1895,0
0,来,莱,来自,莱自,1888,0
0,之,织,之后,织后,1879,0
0,还,环,还有,环有,1848,0
0,关,观,关系,观系,1834,0
0,应,映,应该,映该,1817,0
0,尽,近,尽管,近管,1812,0
1,间,监,之间,之监,1808,0
1,划,化,计划,计化,1806,0
0,而,儿,而且,儿且,1801,0
1,式,士,方式,方士,1787,0
0,城,承,城市,承市,1779,0
0,得,德,得到,德到,1766,0
1,前,钱,目前,目钱,1764,0
0,为,未,为了,未了,1738,0
0,之,處,之前,處前,1730,0
1,士,是,人士,人是,1723,0
1,何,和,如何,如和,1710,0
0,只,指,只是,指是,1703,0
1,至,致,甚至,甚致,1693,0
0,一,疑,一起,疑起,1687,0
0,是,示,是否,示否,1668,0
1,时,食,当时,当食,1662,0
1,去,趣,过去,过趣,1658,0
1,到,道,受到,受道,1654,0
0,感,敢,感到,敢到,1648,0
0,还,环,还是,环是,1643,0
1,得,德,获得,获德,1638,0
0,社,摄,社会,摄会,1635,0
0,觉,掘,觉得,掘得,1631,0
1,诉,素,告诉,告素,1621,0
0,方,芳,方面,芳面,1598,0
0,全,权,全球,权球,1583,0
0,那,纳,那里,纳里,1573,0
1,西,息,东西,东息,1573,0
1,全,权,安全,安权,1572,0
0,去,趣,去年,趣年,1549,0
0,之,個,之一,個一,1541,0
0,报,暴,报道,暴道,1533,0
0,必,壁,必须,壁须,1525,0
0,几,己,几乎,己乎,1518,0
1,要,药,主要,主药,1513,0
0,无,吾,无法,吾法,1513,0
0,对,队,对于,队于,1513,2
0,一,愛,一位,愛位,1512,0
1,家,加,一家,一加,1506,0
1,亡,王,死亡,死王,1503,0
1,在,再,存在,存再,1498,0
1,助,住,帮助,帮住,1491,0
